RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-1651;2024;Aluno-1651;22;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1652;2024;Aluno-1652;22;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1653;2024;Aluno-1653;20;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1654;2024;Aluno-1654;22;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1655;2024;Aluno-1655;21;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1656;2024;Aluno-1656;22;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1657;2024;Aluno-1657;20;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1658;2024;Aluno-1658;21;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1659;2024;Aluno-1659;21;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-166;2022;Aluno-166;14;Fase 4;L;Escola Pública;8.253;Topázio;Ametista;Ametista;8.1;9.0;9.2;6.3;7.542;10.0;7.0;7.2;10.0;Não;0;Fase 4 (9º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-166;2023;Aluno-166;15;Fase 5;5L;Privada - Programa de Apadrinhamento;8.105583333;Topázio;Ametista;Ametista;8.1;8.9;7.5;6.26;7.4625;10.0;7.0;7.2;10.0;Não avaliado;0;Fase 5 (1° EM);8.4375;Não;-0.1474166669999999;0.0;-0.09999999999999964;-1.6999999999999993;-0.040000000000000036;;-0.07949999999999946;0.0;Recuo;Neutra;Recuo;Recuo;Recuo;Sem dados;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-166;2024;Aluno-166;16;Fase 7;7E;Privada - Parcerias com Bolsa 100%;8.243183333333334;Topázio;Ametista;Ametista;8.266666666666667;9.246;8.334;6.5725;7.5;10.0;8.2;7.8;8.8;Não avaliado;1;Fase 6 (2° EM);7.5;Não;0.1376000003333342;0.16666666666666785;0.3460000000000001;0.8339999999999996;0.3125;-0.9375;0.037499999999999645;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-1660;2024;Aluno-1660;24;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1661;2024;Aluno-1661;21;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-167;2022;Aluno-167;16;Fase 4;P;Rede Decisão;7.798;Ametista;Ametista;Ametista;7.9;9.7;9.2;5.6;7.833;5.0;9.3;8.0;6.3;Não;-2;Fase 6 (2º EM);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-167;2023;Aluno-167;17;Fase 5;5L;Privada - Programa de Apadrinhamento;7.806141667;Ametista;Ametista;Ametista;7.9;9.9;8.8;5.0;7.8375;5.0;8.3;7.2;8.3;Não avaliado;-2;Fase 7 (3° EM);7.96875;Não;0.008141667000000297;0.0;0.20000000000000107;-0.3999999999999986;-0.5999999999999996;;0.0045000000000001705;0.0;Avanço;Neutra;Avanço;Recuo;Recuo;Sem dados;Avanço;Neutra;Esforçados em risco emocional
RA-167;2024;Aluno-167;18;Fase 6;6L;Privada - Programa de Apadrinhamento;8.033470175466666;Topázio;Ametista;Ametista;8.166666666666666;9.473684210666667;8.751;6.26;8.334;5.0;8.0;6.5;10.0;Não avaliado;-1;Fase 7 (3° EM);8.375;Não;0.22732850846666608;0.2666666666666657;-0.4263157893333336;-0.049000000000001265;1.2599999999999998;0.40625;0.4964999999999993;0.0;Avanço;Avanço;Recuo;Recuo;Avanço;Avanço;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-168;2022;Aluno-168;15;Fase 4;P;Rede Decisão;6.917;Ágata;Ametista;Ametista;5.9;8.3;7.9;6.3;7.083;5.0;4.7;8.2;5.0;Não;-1;Fase 5 (1º EM);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-168;2023;Aluno-168;15;Fase 5;5L;Privada - Programa de Apadrinhamento;6.483083333;Ágata;Ametista;Ametista;4.7;9.6;0.0;6.89;6.4225;10.0;4.3;3.0;6.7;Não avaliado;0;Fase 5 (1° EM);6.5625;Não;-0.4339166670000001;-1.2000000000000002;1.299999999999999;-7.9;0.5899999999999999;;-0.6604999999999999;5.0;Recuo;Recuo;Avanço;Recuo;Avanço;Sem dados;Recuo;Avanço;Crise de autopercepção (invisíveis)
RA-169;2022;Aluno-169;15;Fase 4;P;Escola Pública;5.159;Quartzo;Ágata;Ágata;3.2;5.1;7.5;6.3;4.792;5.0;1.3;4.5;3.8;Não;-1;Fase 5 (1º EM);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-17;2022;Aluno-17;20;Fase 7;D;Escola Pública;8.068;Topázio;Pré-ingresso;Pré-ingresso;7.8;10.0;8.8;7.5;8.292;5.0;9.0;6.5;;Não;-1;Fase 8 (Universitários);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-17;2023;Aluno-17;21;Fase 8;8E;Privada - Pagamento por Empresa Parceira;;Sem registro;Pré-ingresso;Pré-ingresso;;;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;5.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-17;2024;Aluno-17;22;Fase 8;8E;Privada - Pagamento por Empresa Parceira;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;0.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Neutra;Dados incompletos para perfil
RA-170;2022;Aluno-170;14;Fase 4;P;Rede Decisão;7.007;Ágata;Ametista;Ametista;4.9;9.2;8.3;5.6;5.792;10.0;3.7;6.7;4.3;Não;0;Fase 4 (9º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
