RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-349;2022;Aluno-349;12;Fase 2;B;Escola Pública;5.658;Quartzo;Pré-ingresso;Ametista;3.7;7.7;9.5;7.5;3.944;5.0;2.2;5.2;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-35;2022;Aluno-35;17;Fase 6;A;Rede Decisão;8.965;Topázio;Ametista;Topázio;8.5;9.6;10.0;9.4;10.0;5.0;9.0;7.1;9.3;Sim;-1;Fase 7 (3º EM);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-35;2023;Aluno-35;18;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Ametista;Topázio;;;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;5.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-35;2024;Aluno-35;19;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Ametista;Topázio;;0.0;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;0.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Neutra;Dados incompletos para perfil
RA-350;2022;Aluno-350;11;Fase 2;D;Escola Pública;8.206;Topázio;Pré-ingresso;Pré-ingresso;6.5;8.8;10.0;7.5;8.611;10.0;7.0;6.0;;Sim;0;Fase 2 (5º e 6º ano);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-350;2023;Aluno-350;12;Fase 2;2D;Escola Pública;7.972033333;Ametista;Pré-ingresso;Pré-ingresso;9.0;9.7;10.0;2.52;7.92;5.0;8.8;9.2;;Não avaliado;-1;Fase 3 (7° e 8° ano);8.958333333;Não;-0.2339666669999998;2.5;0.8999999999999986;0.0;-4.98;;-0.6910000000000007;-5.0;Recuo;Avanço;Avanço;Neutra;Recuo;Sem dados;Recuo;Recuo;Esforçados em risco emocional
RA-351;2022;Aluno-351;14;Fase 2;D;Escola Pública;6.622;Ágata;Pré-ingresso;Pré-ingresso;4.0;7.2;9.0;7.5;8.111;5.0;3.2;4.8;;Não;-2;Fase 4 (9º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-352;2022;Aluno-352;11;Fase 2;D;Escola Pública;7.834;Ametista;Ametista;Ametista;7.0;8.1;9.0;5.6;8.389;10.0;7.3;6.7;;Sim;0;Fase 2 (5º e 6º ano);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-352;2023;Aluno-352;12;Fase 3;3B;Escola Pública;7.840341667;Ametista;Ametista;Ametista;7.2;8.1;9.2;6.26;7.17;10.0;8.2;6.0;7.5;Não avaliado;0;Fase 3 (7° e 8° ano);7.96875;Não;0.006341667000000051;0.20000000000000018;0.0;0.1999999999999993;0.6600000000000001;;-1.2189999999999994;0.0;Avanço;Avanço;Neutra;Avanço;Avanço;Sem dados;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-352;2024;Aluno-352;13;Fase 4;4B;Escola Pública;5.9794829346;Quartzo;Ametista;Ametista;3.1666666666666665;4.453748006333333;8.334;6.26;6.7925;10.0;2.0;5.5;2.0;Não avaliado;1;Fase 3 (7° e 8° ano);6.375;Não;-1.8608587323999997;-4.033333333333333;-3.6462519936666666;-0.8659999999999997;0.0;-1.59375;-0.3774999999999995;0.0;Recuo;Recuo;Recuo;Recuo;Neutra;Recuo;Recuo;Neutra;Alerta acadêmico (desfocados)
RA-353;2022;Aluno-353;11;Fase 2;D;Escola Pública;8.264;Topázio;Pré-ingresso;Pré-ingresso;7.5;10.0;7.0;7.5;8.444;10.0;8.0;7.0;;Sim;0;Fase 2 (5º e 6º ano);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-353;2023;Aluno-353;12;Fase 3;3D;Escola Pública;8.309016667;Topázio;Pré-ingresso;Pré-ingresso;8.4;9.9;8.8;2.52;8.67;10.0;8.5;7.3;9.5;Não avaliado;0;Fase 3 (7° e 8° ano);7.8125;Não;0.04501666700000051;0.9000000000000004;-0.09999999999999964;1.8000000000000007;-4.98;;0.2259999999999991;0.0;Avanço;Avanço;Recuo;Avanço;Recuo;Sem dados;Avanço;Neutra;Esforçados em risco emocional
RA-354;2022;Aluno-354;13;Fase 2;D;Escola Pública;5.858;Quartzo;Ametista;Ágata;4.5;4.3;8.5;7.5;7.333;5.0;2.8;6.2;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-355;2022;Aluno-355;12;Fase 2;D;Escola Pública;5.379;Quartzo;Ametista;Quartzo;4.5;5.0;5.8;7.5;6.056;5.0;5.5;3.5;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-356;2022;Aluno-356;12;Fase 2;D;Escola Pública;6.69;Ágata;Topázio;Topázio;4.6;8.4;10.0;5.0;8.278;5.0;5.3;3.8;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-356;2023;Aluno-356;13;Fase 3;3C;Escola Pública;6.452008333;Ágata;Topázio;Topázio;3.4;8.5;9.2;2.52;6.5025;10.0;4.3;4.5;1.3;Não avaliado;0;Fase 3 (7° e 8° ano);6.09375;Não;-0.23799166700000018;-1.1999999999999997;0.09999999999999964;-0.8000000000000007;-2.48;;-1.7755;5.0;Recuo;Recuo;Avanço;Recuo;Recuo;Sem dados;Recuo;Avanço;Esforçados em risco emocional
RA-356;2024;Aluno-356;14;Fase 4;4B;Escola Pública;6.627336016533334;Ágata;Topázio;Topázio;5.333333333333333;6.656346749333334;8.334;5.635;6.5375;10.0;1.0;7.0;8.0;Não avaliado;1;Fase 3 (7° e 8° ano);5.25;Não;0.17532768353333417;1.9333333333333331;-1.8436532506666659;-0.8659999999999997;3.1149999999999998;-0.84375;0.034999999999999254;0.0;Avanço;Avanço;Recuo;Recuo;Avanço;Recuo;Avanço;Neutra;Alerta acadêmico (desfocados)
RA-357;2022;Aluno-357;12;Fase 2;D;Escola Pública;7.836;Ametista;Pré-ingresso;Pré-ingresso;8.5;9.6;8.0;7.5;7.778;5.0;10.0;7.0;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-357;2023;Aluno-357;13;Fase 2;2I;Escola Pública;8.2832;Topázio;Pré-ingresso;Pré-ingresso;8.7;9.6;8.5;7.52;8.23;5.0;8.7;8.7;;Não avaliado;-1;Fase 3 (7° e 8° ano);8.75;Não;0.4472000000000005;0.1999999999999993;0.0;0.5;0.019999999999999574;;0.45200000000000085;0.0;Avanço;Avanço;Neutra;Avanço;Avanço;Sem dados;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-357;2024;Aluno-357;14;Fase 3;3I;Escola Pública;7.731569404200001;Ametista;Pré-ingresso;Pré-ingresso;7.666666666666667;9.028180354333333;8.751;8.135;7.0825;5.0;8.5;7.0;7.5;Não avaliado;-1;Fase 4 (9° ano);7.875;Não;-0.5516305957999998;-1.0333333333333323;-0.5718196456666664;0.25099999999999945;0.6150000000000002;-0.875;-1.1475000000000009;0.0;Recuo;Recuo;Recuo;Avanço;Avanço;Recuo;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-358;2022;Aluno-358;13;Fase 2;D;Escola Pública;5.412;Quartzo;Pré-ingresso;Pré-ingresso;0.0;6.5;7.5;7.5;7.556;5.0;0.0;0.0;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-359;2022;Aluno-359;12;Fase 2;D;Escola Pública;6.606;Ágata;Ametista;Ágata;4.6;7.0;9.0;7.5;7.5;5.0;3.3;5.8;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-359;2023;Aluno-359;13;Fase 3;3C;Escola Pública;7.627125;Ametista;Ametista;Ágata;5.8;9.2;9.6;2.52;8.255;10.0;6.0;6.7;4.7;Não avaliado;0;Fase 3 (7° e 8° ano);7.65625;Não;1.0211250000000005;1.2000000000000002;2.1999999999999993;0.5999999999999996;-4.98;;0.7550000000000008;5.0;Avanço;Avanço;Avanço;Avanço;Recuo;Sem dados;Avanço;Avanço;Esforçados em risco emocional
RA-359;2024;Aluno-359;14;Fase 4;4C;Escola Pública;7.492006349133335;Ametista;Ametista;Ágata;5.5;7.162698412666667;9.168;6.26;8.333333333;10.0;4.0;4.5;8.0;Não avaliado;1;Fase 3 (7° e 8° ano);7.5;Não;-0.13511865086666575;-0.2999999999999998;-2.0373015873333324;-0.4320000000000004;3.7399999999999998;-0.15625;0.07833333299999978;0.0;Recuo;Recuo;Recuo;Recuo;Avanço;Recuo;Avanço;Neutra;Alerta acadêmico (desfocados)
RA-36;2022;Aluno-36;17;Fase 6;A;Rede Decisão;7.876;Ametista;Topázio;Ametista;6.8;9.0;9.2;6.9;8.944;5.0;8.5;4.3;7.8;Sim;-1;Fase 7 (3º EM);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-36;2023;Aluno-36;18;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Topázio;Ametista;;;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;5.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-36;2024;Aluno-36;19;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Topázio;Ametista;;0.0;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;0.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Neutra;Dados incompletos para perfil
RA-360;2022;Aluno-360;12;Fase 2;D;Escola Pública;7.075;Ametista;Ametista;Ágata;5.2;8.5;9.5;7.5;7.5;5.0;4.7;5.7;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-360;2023;Aluno-360;13;Fase 3;3C;Escola Pública;5.790875;Quartzo;Ametista;Ágata;4.3;7.3;0.0;2.52;7.4225;10.0;5.3;4.8;2.8;Não avaliado;0;Fase 3 (7° e 8° ano);7.34375;Não;-1.2841250000000004;-0.9000000000000004;-1.2000000000000002;-9.5;-4.98;;-0.07749999999999968;5.0;Recuo;Recuo;Recuo;Recuo;Recuo;Sem dados;Recuo;Avanço;Crise de autopercepção (invisíveis)
RA-360;2024;Aluno-360;14;Fase 3;3C;Escola Pública;6.293175689166667;Ágata;Ametista;Ágata;5.833333333333333;5.618045113;8.334;5.0;6.993333333;5.0;4.0;6.0;7.5;Não avaliado;-1;Fase 4 (9° ano);7.708333333;Não;0.5023006891666668;1.5333333333333332;-1.6819548869999998;8.334;2.48;0.3645833329999997;-0.4291666670000005;-5.0;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Recuo;Recuo;Alerta acadêmico (desfocados)
RA-361;2022;Aluno-361;13;Fase 2;F;Escola Pública;6.731;Ágata;Pré-ingresso;Pré-ingresso;5.0;9.2;7.9;6.3;6.778;5.0;4.0;6.0;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-362;2022;Aluno-362;12;Fase 2;F;Escola Pública;7.413;Ametista;Ágata;Quartzo;7.9;7.9;8.5;7.5;7.5;5.0;6.5;9.3;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-362;2023;Aluno-362;13;Fase 3;3G;Escola Pública;6.392625;Ágata;Ágata;Quartzo;5.1;7.5;0.0;7.52;7.0875;10.0;5.7;6.8;2.8;Não avaliado;0;Fase 3 (7° e 8° ano);7.03125;Não;-1.0203750000000005;-2.8000000000000007;-0.40000000000000036;-8.5;0.019999999999999574;;-0.41249999999999964;5.0;Recuo;Recuo;Recuo;Recuo;Avanço;Sem dados;Recuo;Avanço;Crise de autopercepção (invisíveis)
RA-363;2022;Aluno-363;12;Fase 2;F;Escola Pública;6.644;Ágata;Pré-ingresso;Pré-ingresso;2.0;10.0;10.0;6.9;7.056;5.0;1.0;3.0;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-363;2023;Aluno-363;13;Fase 2;2F;Escola Pública;6.680833333;Ágata;Pré-ingresso;Pré-ingresso;6.8;9.9;0.0;2.52;8.673333333;5.0;6.8;6.8;;Não avaliado;-1;Fase 3 (7° e 8° ano);8.541666667;Não;0.03683333299999969;4.8;-0.09999999999999964;-10.0;-4.380000000000001;;1.6173333330000004;0.0;Avanço;Avanço;Recuo;Recuo;Recuo;Sem dados;Avanço;Neutra;Crise de autopercepção (invisíveis)
RA-363;2024;Aluno-363;14;Fase 3;3D;Escola Privada;7.617803571466666;Ametista;Pré-ingresso;Pré-ingresso;5.333333333333333;9.523809524;9.585;5.625;6.955;10.0;4.0;3.5;8.5;Não avaliado;0;Fase 3 (7° e 8° ano);7.34375;Não;0.9369702384666665;-1.4666666666666668;-0.37619047599999966;9.585;3.105;-1.1979166669999994;-1.7183333330000004;5.0;Avanço;Recuo;Recuo;Avanço;Avanço;Recuo;Recuo;Avanço;Esforçados em risco emocional
RA-364;2022;Aluno-364;11;Fase 2;F;Escola Pública;8.75;Topázio;Ametista;Topázio;8.8;10.0;9.5;7.5;8.167;10.0;9.5;8.0;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-364;2023;Aluno-364;12;Fase 3;3G;Escola Pública;7.734891667;Ametista;Ametista;Topázio;5.8;9.0;8.8;6.89;7.505;10.0;8.0;5.2;4.3;Não avaliado;0;Fase 3 (7° e 8° ano);7.03125;Não;-1.0151083329999997;-3.000000000000001;-1.0;-0.6999999999999993;-0.6100000000000003;;-0.6619999999999999;0.0;Recuo;Recuo;Recuo;Recuo;Recuo;Sem dados;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-364;2024;Aluno-364;13;Fase 3;3G;Escola Pública;8.2697037582;Topázio;Ametista;Topázio;7.5;9.526143791;8.751;7.51;7.2075;10.0;8.0;5.0;9.5;Não avaliado;0;Fase 3 (7° e 8° ano);7.96875;Não;0.5348120912000001;1.7000000000000002;0.5261437910000009;-0.049000000000001265;0.6200000000000001;0.9375;-0.2975000000000003;0.0;Avanço;Avanço;Avanço;Recuo;Avanço;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-365;2022;Aluno-365;10;Fase 2;F;Escola Pública;8.063;Topázio;Pré-ingresso;Pré-ingresso;7.8;10.0;8.0;5.0;7.833;10.0;6.0;9.5;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-365;2023;Aluno-365;10;Fase 2;2G;Escola Pública;8.6587;Topázio;Pré-ingresso;Pré-ingresso;8.7;9.9;10.0;2.52;8.953333333;10.0;8.2;9.2;;Não avaliado;0;Fase 2 (5° e 6° ano);8.958333333;Não;0.595699999999999;0.8999999999999995;-0.09999999999999964;2.0;-2.48;;1.1203333329999996;0.0;Avanço;Avanço;Recuo;Avanço;Recuo;Sem dados;Avanço;Neutra;Esforçados em risco emocional
RA-365;2024;Aluno-365;11;Fase 3;3H;Escola Pública;8.526983333333334;Topázio;Pré-ingresso;Pré-ingresso;6.666666666666667;10.0;9.585;7.51;8.202;10.0;8.0;7.0;5.0;Não avaliado;1;Fase 2 (5° e 6° ano);8.4375;Não;-0.13171666666666582;-2.0333333333333323;0.09999999999999964;-0.41499999999999915;4.99;-0.5208333330000006;-0.7513333329999998;0.0;Recuo;Recuo;Avanço;Recuo;Avanço;Recuo;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-366;2022;Aluno-366;12;Fase 2;F;Escola Pública;7.181;Ametista;Pré-ingresso;Pré-ingresso;5.5;9.4;9.5;7.5;6.833;5.0;6.0;5.0;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-367;2022;Aluno-367;12;Fase 2;F;Escola Pública;6.95;Ágata;Topázio;Ametista;6.7;7.4;8.5;6.3;7.5;5.0;5.2;8.2;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-367;2023;Aluno-367;12;Fase 3;3F;Escola Pública;7.38685;Ametista;Topázio;Ametista;5.9;8.7;8.8;2.52;7.7925;10.0;7.0;5.5;5.2;Não avaliado;0;Fase 3 (7° e 8° ano);7.8125;Não;0.43684999999999974;-0.7999999999999998;1.299999999999999;0.3000000000000007;-3.78;;0.2925000000000004;5.0;Avanço;Recuo;Avanço;Avanço;Recuo;Sem dados;Avanço;Avanço;Esforçados em risco emocional
RA-367;2024;Aluno-367;13;Fase 4;4B;Escola Pública;7.209434085200001;Ametista;Topázio;Ametista;5.0;7.268170426;9.168;6.26;7.6275;10.0;2.0;5.5;7.5;Não avaliado;1;Fase 3 (7° e 8° ano);6.875;Não;-0.17741591479999919;-0.9000000000000004;-1.431829573999999;0.36799999999999855;3.7399999999999998;-0.9375;-0.16500000000000004;0.0;Recuo;Recuo;Recuo;Avanço;Avanço;Recuo;Recuo;Neutra;Alerta acadêmico (desfocados)
RA-368;2022;Aluno-368;13;Fase 2;F;Rede Decisão;6.969;Ágata;Ametista;Ametista;7.3;7.9;8.0;5.0;7.5;5.0;5.5;9.0;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-368;2023;Aluno-368;14;Fase 3;3F;Escola Pública;5.796458333;Quartzo;Ametista;Ametista;6.7;7.7;0.0;2.52;7.34;5.0;5.0;7.2;7.8;Não avaliado;-1;Fase 4 (9° ano);7.03125;Não;-1.172541667;-0.5999999999999996;-0.20000000000000018;-8.0;-2.48;;-0.16000000000000014;0.0;Recuo;Recuo;Recuo;Recuo;Recuo;Sem dados;Recuo;Neutra;Crise de autopercepção (invisíveis)
RA-368;2024;Aluno-368;15;Fase 3;3G;Escola Pública;6.782158333333333;Ágata;Ametista;Ametista;7.0;6.166666666666667;7.917;7.51;6.7025;5.0;4.5;7.0;9.5;Não avaliado;-1;Fase 4 (9° ano);7.65625;Não;0.9857000003333329;0.2999999999999998;-1.5333333333333332;7.917;4.99;0.625;-0.6375000000000002;0.0;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Recuo;Neutra;Alerta acadêmico (desfocados)
RA-369;2022;Aluno-369;11;Fase 2;F;Escola Pública;6.973;Ágata;Pré-ingresso;Pré-ingresso;4.8;6.9;9.0;7.5;6.889;10.0;4.0;5.5;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-369;2023;Aluno-369;12;Fase 2;2F;Escola Pública;6.0197;Ágata;Pré-ingresso;Pré-ingresso;4.0;4.1;10.0;5.0;7.726666667;5.0;5.0;3.0;;Não avaliado;-1;Fase 3 (7° e 8° ano);8.541666667;Não;-0.9532999999999996;-0.7999999999999998;-2.8000000000000007;1.0;-2.5;;0.8376666669999997;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Sem dados;Avanço;Recuo;Alerta acadêmico (desfocados)
RA-369;2024;Aluno-369;13;Fase 3;3H;Escola Pública;5.667282265;Quartzo;Pré-ingresso;Pré-ingresso;1.6666666666666667;4.908119658333334;8.751;7.51;5.428;10.0;0.0;0.0;5.0;Não avaliado;0;Fase 3 (7° e 8° ano);6.40625;Não;-0.3524177350000004;-2.333333333333333;0.8081196583333341;-1.2490000000000006;2.51;-2.1354166669999994;-2.298666667;5.0;Recuo;Recuo;Avanço;Recuo;Avanço;Recuo;Recuo;Avanço;Alerta acadêmico (desfocados)
RA-37;2022;Aluno-37;17;Fase 6;A;Rede Decisão;4.95;Quartzo;Ametista;Ágata;5.9;5.4;0.0;5.0;5.222;5.0;2.3;5.3;10.0;Não;-1;Fase 7 (3º EM);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-370;2022;Aluno-370;12;Fase 2;F;Rede Decisão;7.066;Ametista;Ametista;Ametista;7.2;8.2;8.5;5.0;7.611;5.0;5.2;9.2;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-371;2022;Aluno-371;10;Fase 2;F;Escola Pública;8.112;Topázio;Pré-ingresso;Pré-ingresso;8.4;8.0;9.5;6.9;7.667;10.0;7.8;9.0;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-372;2022;Aluno-372;10;Fase 2;F;Escola Pública;7.304;Ametista;Pré-ingresso;Topázio;7.8;5.5;8.5;6.9;7.389;10.0;8.3;7.2;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-373;2022;Aluno-373;11;Fase 2;F;Escola Pública;7.503;Ametista;Pré-ingresso;Pré-ingresso;7.3;9.5;6.4;5.0;6.944;10.0;6.5;8.0;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-373;2023;Aluno-373;12;Fase 2;2G;Escola Pública;6.805;Ágata;Pré-ingresso;Pré-ingresso;8.4;9.7;0.0;2.52;7.84;5.0;7.7;9.0;;Não avaliado;-1;Fase 3 (7° e 8° ano);8.75;Não;-0.6980000000000004;1.1000000000000005;0.1999999999999993;-6.4;-2.48;;0.8959999999999999;-5.0;Recuo;Avanço;Avanço;Recuo;Recuo;Sem dados;Avanço;Recuo;Crise de autopercepção (invisíveis)
RA-374;2022;Aluno-374;12;Fase 2;F;Escola Pública;7.747;Ametista;Pré-ingresso;Ágata;6.9;9.8;9.0;7.5;7.944;5.0;5.3;8.5;;Não;-1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-374;2023;Aluno-374;13;Fase 3;3F;Escola Privada;7.533891667;Ametista;Pré-ingresso;Ágata;5.4;8.3;8.8;5.63;7.9175;10.0;6.3;6.3;3.7;Não avaliado;0;Fase 3 (7° e 8° ano);7.65625;Não;-0.2131083330000001;-1.5;-1.5;-0.1999999999999993;-1.87;;-0.026499999999999524;5.0;Recuo;Recuo;Recuo;Recuo;Recuo;Sem dados;Recuo;Avanço;Esforçados em risco emocional
RA-375;2022;Aluno-375;11;Fase 2;F;Escola Pública;7.831;Ametista;Topázio;Topázio;5.4;9.5;9.0;7.5;7.667;10.0;3.3;7.5;;Não;0;Fase 2 (5º e 6º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-375;2023;Aluno-375;12;Fase 2;2F;Escola Pública;7.070833333;Ametista;Topázio;Topázio;7.9;9.9;0.0;5.0;8.283333333;5.0;6.8;9.0;;Não avaliado;-1;Fase 3 (7° e 8° ano);8.541666667;Não;-0.760166667;2.5;0.40000000000000036;-9.0;-2.5;;0.616333333;-5.0;Recuo;Avanço;Avanço;Recuo;Recuo;Sem dados;Avanço;Recuo;Crise de autopercepção (invisíveis)
